25353,english,"Windows 7/x86/6.1",3.1.6,1.8.0_60
25340,english,"Windows 10/x86/10.0",3.1.6,1.8.0_60
25339,english,"Windows 8.1/x86/6.3",3.1.6,1.8.0_60
26077,english,"Mac OS X/x86_64/10.11.2",3.1.6,1.8.0_66
25341,english,"Mac OS X/x86_64/10.10.5",3.1.6,1.8.0_66
25697,english,"Mac OS X/x86_64/10.10",3.1.6,1.8.0_66
25358,english,"Windows 10/amd64/10.0",3.1.6,1.8.0_65
25420,english,"Windows 8/x86/6.2",3.1.6,1.8.0_60
27049,korean,"Mac OS X/x86_64/10.10.5",3.1.6,1.8.0_66
25403,english,"Mac OS X/x86_64/10.11.1",3.1.6,1.8.0_66
16946,english,"Windows 8/x86/6.2",3.1.5,1.8.0_40
26630,english,"Windows 7/x86/6.1",3.1.4,1.8.0_66
25398,english,"Mac OS X/x86_64/10.10.2",3.1.6,1.8.0_66
25763,english,"Windows 7/amd64/6.1",3.1.4,1.8.0_66
25355,english,"Mac OS X/x86_64/10.11",3.1.6,1.8.0_66
9930,english,"Windows 7/x86/6.1",3.1.4,1.7.0_55
25165,english,"Windows 10/amd64/10.0",3.1.5,1.8.0_65
25562,english,"Windows 7/x86/6.1",3.1.6,1.8.0_66
29488,english,"Mac OS X/x86_64/10.11.3",3.1.6,1.8.0_66
22597,english,"Windows 10/amd64/10.0",3.1.5,1.8.0_60
25493,english,"Windows 7/amd64/6.1",3.1.6,1.8.0_66
25430,english,"Mac OS X/x86_64/10.10.3",3.1.6,1.8.0_66
25483,english,"Mac OS X/x86_64/10.8.5",3.1.6,1.8.0_66
31681,english,"Windows 7/x86/6.1",3.1.6,1.8.0_74
31659,english,"Windows 7/amd64/6.1",3.1.6,1.8.0_74
